,#,Company,Symbol,Weight,Price,Chg,% Chg
353,354,Hologic Inc.,HOLX,0.049819,71.61,-0.69,(-0.95%)
354,355,Quest Diagnostics Incorporated,DGX,0.049766,138.03,-1.40,(-1.00%)
355,356,Pool Corporation,POOL,0.04976,466.26,3.89,(0.84%)
356,357,Teleflex Incorporated,TFX,0.049724,395.33,-2.58,(-0.65%)
357,358,Citizens Financial Group Inc.,CFG,0.049612,44.15,0.52,(1.19%)
358,359,KeyCorp,KEY,0.049498,19.33,0.23,(1.18%)
359,360,PerkinElmer Inc.,PKI,0.049259,171.84,7.50,(4.57%)
360,361,Regions Financial Corporation,RF,0.049081,19.29,0.19,(0.97%)
361,362,Hewlett Packard Enterprise Co.,HPE,0.04889,14.47,0.37,(2.62%)
362,363,Ingersoll Rand Inc.,IR,0.048461,48.82,0.21,(0.43%)
363,364,MarketAxess Holdings Inc.,MKTX,0.048295,466.75,-8.44,(-1.78%)
364,365,CMS Energy Corporation,CMS,0.047893,61.78,-0.30,(-0.48%)
365,366,AmerisourceBergen Corporation,ABC,0.047825,121.13,-0.18,(-0.15%)
366,367,Halliburton Company,HAL,0.047816,20.64,0.53,(2.61%)
367,368,NVR Inc.,NVR,0.047477,"5,038.96",-91.07,(-1.78%)
368,369,Amcor PLC,AMCR,0.047209,11.48,0.18,(1.55%)
369,370,Monolithic Power Systems Inc.,MPWR,0.047037,413.40,-0.87,(-0.21%)
370,371,Carnival Corporation,CCL,0.046864,22.93,0.97,(4.39%)
371,372,Celanese Corporation,CE,0.046661,153.58,0.77,(0.50%)
372,373,Jacobs Engineering Group Inc.,J,0.046579,133.17,-0.73,(-0.55%)
373,374,Cardinal Health Inc.,CAH,0.0465,58.93,-0.27,(-0.46%)
374,375,NetApp Inc.,NTAP,0.046275,78.58,0.86,(1.11%)
375,376,IDEX Corporation,IEX,0.046229,225.95,-1.85,(-0.81%)
376,377,Cincinnati Financial Corporation,CINF,0.046213,116.72,1.48,(1.28%)
377,378,Seagate Technology Holdings PLC,STX,0.04592,86.18,0.70,(0.82%)
378,379,Royal Caribbean Group,RCL,0.045512,80.42,2.70,(3.47%)
379,380,Viatris Inc.,VTRS,0.044946,13.85,-0.08,(-0.54%)
380,381,Avery Dennison Corporation,AVY,0.044915,205.46,3.21,(1.58%)
381,382,Conagra Brands Inc.,CAG,0.04476,34.35,0.10,(0.28%)
382,383,M&T Bank Corporation,MTB,0.044487,132.32,2.99,(2.31%)
383,384,Boston Properties Inc.,BXP,0.043578,115.26,0.36,(0.31%)
